publicationNumber,applicationDate,publicationDate,priorityCountryRegion,supplementaryPriorityCountryRegion,numberOfInventors,IPC,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,legalStatusEvent,patentType
US20110257944A1,2010/10/21,2011/10/20,US,US,9,G06F17/10 | G06G7/48,20,25,5,216,2,3,240,96,138,2,240,1,1,授权,发明申请
US8731889B2,2010/10/21,2014/5/20,US,US,9,G06G7/48,20,25,6,38,22,3,240,12,18,2,240,1,1,授权,授权发明
WO2019047258A2,2017/9/15,2019/3/14,CN,CN,2,G01N33/24 | G06Q50/02 | G06K9/62,1,18,0,6,0,3,18,6,6,3,18,1,3,PCT进入指定国（指定期满）,发明申请
US9719311B2,2011/3/1,2017/8/1,GB | GB | GB,GB | GB | GB,1,E21B17/18 | E21B21/12 | E21B43/00 | E21B43/29 | E21B43/28 | E21F17/16,20,45,17,2,0,180,696,0,2,175,60,1,9,授权,授权发明
US20130043031A1,2011/3/1,2013/2/21,US | US,US | US,1,E21B43/12,20,45,11,20,0,180,696,11,12,175,60,1,9,授权,发明申请
US9574404B2,2013/3/1,2017/2/21,WO | GB | GB | GB,WO | GB | GB | GB,1,E21B17/01 | E21B7/06 | E21B17/00 | E21B19/00 | E21B33/068 | E21B41/00,36,56,3,5,0,180,696,0,5,175,20,1,1,授权,授权发明
US20150021018A1,2013/3/1,2015/1/22,GB,GB,1,E21B17/00 | E21B41/00 | E21B7/06 | E21B43/16 | E21B7/00 | E21B33/068,38,57,1,15,0,180,696,7,12,175,20,1,1,授权,发明申请
US20220008867A1,2019/9/18,2022/1/13,US,US,4,B01D61/58 | B01D61/36 | B01D71/02 | B01D69/02 | B01D61/00 | B01D67/00 | C02F9/00 | B01D61/14,44,104,0,8,0,4,16,2,2,4,16,1,4,实质审查 | 权利转移,发明申请
US20170016812A1,2016/7/18,2017/1/19,US | US,US | US,4,G01N15/08 | E21B49/02,17,19,1,19,0,7,21,10,17,5,19,1,1,授权 | 权利转移,发明申请
US10591399B2,2016/7/18,2020/3/17,US | US,US | US,4,G01N15/08 | E21B49/02,14,20,10,1,28,7,21,0,0,5,19,1,1,授权 | 权利转移,授权发明
US10557962B2,2016/9/16,2020/2/11,-,US,4,G01V3/32 | E21B49/02 | E21B49/00 | E21B49/08,5,13,27,1,6,7,15,1,1,7,15,1,7,授权 | 权利转移,授权发明
US20200124762A1,2019/12/17,2020/4/23,-,US,4,G01V3/32 | E21B49/08 | E21B49/02 | E21B49/00 | G01N24/08,5,13,0,0,0,7,15,0,0,7,15,1,7,授权 | 权利转移,发明申请
US20200124761A1,2019/12/17,2020/4/23,-,US,4,G01V3/32 | E21B49/08 | E21B49/02 | E21B49/00 | G01N24/08,5,13,0,0,0,7,15,0,0,7,15,1,7,授权 | 权利转移,发明申请
US20200124763A1,2019/12/17,2020/4/23,-,US,4,G01V3/32 | E21B49/08 | E21B49/02 | E21B49/00 | G01N24/08,5,12,0,0,0,7,15,0,0,7,15,1,7,授权 | 权利转移,发明申请
US11035977B2,2019/12/17,2021/6/15,-,US,4,G01V3/32 | G01N24/08 | E21B49/00 | E21B49/02 | E21B49/08 | G01R33/44,5,13,29,0,6,7,15,0,0,7,15,1,7,授权 | 权利转移,授权发明
US11054540B2,2019/12/17,2021/7/6,-,US,4,G01V3/32 | G01N24/08 | E21B49/00 | E21B49/02 | E21B49/08 | G01R33/44,5,13,29,0,6,7,15,0,0,7,15,1,7,授权 | 权利转移,授权发明
US11112525B2,2019/12/17,2021/9/7,-,US,4,G01V3/32 | E21B49/00 | E21B49/02 | E21B49/08 | G01N24/08 | G01R33/44,5,13,29,0,6,7,15,0,0,7,15,1,7,授权 | 权利转移,授权发明
US20160298425A1,2016/6/17,2016/10/13,US | US | US | US | US | US | US | US | US | US,US | US | US | US | US | US | US | US | US | US,1,E21B41/00 | E21B43/267 | E21B43/26,24,24,3,14,1,68,361,8,11,68,14,1,1,撤回-视为撤回,发明申请
US20190368997A1,2019/6/5,2019/12/5,US,US,2,G01N15/08 | G01N33/24 | E21B49/02,16,18,0,2,0,7,3,2,2,7,3,1,7,授权 | 权利转移,发明申请
US11175211B2,2019/6/5,2021/11/16,US,US,2,G01N15/08 | E21B49/02 | G01N33/24,8,18,34,0,12,7,3,0,0,7,3,1,7,授权 | 权利转移,授权发明
US20220026337A1,2021/10/12,2022/1/27,US,US,2,G01N15/08 | G01N33/24 | E21B49/02,7,18,0,0,1,7,3,0,0,7,3,1,7,实质审查 | 权利转移,发明申请
US8999172B1,2011/12/13,2015/4/7,US,US,1,C02F1/42 | C02F1/44,15,31,10,12,7,2,12,6,8,1,12,1,1,未缴年费,授权发明
US20180230778A1,2017/8/15,2018/8/16,-,US,1,E21B41/00 | E21B43/267 | E21B43/40,33,17,2,11,0,68,361,6,10,68,12,1,2,撤回-视为撤回,发明申请
US20210372235A1,2021/8/16,2021/12/2,-,US,1,E21B41/00 | E21B43/40 | E21B43/267 | C09K8/60 | C09K8/80 | C09K8/62,33,16,2,1,0,68,361,1,1,68,12,1,2,撤回-视为撤回,发明申请
US20170322162A1,2015/11/30,2017/11/9,KR | KR,KR | KR,3,G01N21/71 | G01N1/44,27,17,3,8,0,5,16,4,4,5,15,1,4,未缴年费 | 许可,发明申请
US10175173B2,2015/11/30,2019/1/8,KR | KR,KR | KR,3,G01J3/30 | G01N21/71 | G01N1/44 | G01N1/40,22,17,12,0,0,5,16,0,0,5,15,1,4,未缴年费 | 许可,授权发明
US20210047908A1,2019/3/28,2021/2/18,JP,JP,1,E21B43/34 | C10G45/08 | E21B43/26,6,19,0,0,0,4,0,0,0,4,0,1,4,授权,发明申请
US11441409B2,2019/3/28,2022/9/13,JP,JP,1,E21B43/34 | C10G45/08 | E21B43/26,9,20,10,0,1,4,0,0,0,4,0,1,4,授权,授权发明
US20210139796A1,2018/9/6,2021/5/13,US,US,6,C10G59/02 | B01J29/46 | B01J21/02,35,17,4,2,0,4,9,1,1,4,9,1,4,授权,发明申请
US11603500B2,2018/9/6,2023/3/14,US,US,6,C10G59/02 | B01J21/02 | B01J29/46,18,17,13,0,3,4,9,0,0,4,9,1,4,授权,授权发明
US20230227735A1,2023/3/14,2023/7/20,US,US,6,C10G59/02 | B01J21/02 | B01J29/46,20,17,0,0,0,4,9,0,0,4,9,1,4,公开,发明申请
US20110108283A1,2010/8/31,2011/5/12,US,US,5,E21B43/00 | G01V3/12 | G01V1/30 | G06F19/00 | G06F7/60,22,20,20,76,8,9,119,31,41,9,119,1,9,授权,发明申请
US9692075B1,2016/1/26,2017/6/27,-,US,3,H01M8/12 | H01M8/1226 | H01M4/86 | H01M8/1007 | H01M8/124 | H01M8/1253 | H01M8/126,20,19,2,11,8,1,11,7,11,1,11,1,1,授权 | 许可,授权发明
US20160061803A1,2014/2/17,2016/3/3,US,US,2,G01N33/24 | E21B49/02 | G01N24/08 | G01N27/02,20,12,24,17,6,4,24,6,12,4,24,1,4,授权,发明申请
US10329884B2,2014/2/17,2019/6/25,US,US,2,G01N24/08 | G01N27/02 | E21B49/02 | E21B43/00,14,13,31,0,17,4,24,0,0,4,24,1,4,授权,授权发明
